aX, aY, aZ, gX, gY, gZ, mX, mY, mZ, imu_degC, gps_Date,                             gps_time, gps_Lat, gps_Long, gps_Alt, gps_SIV, gps_FixType,                             gps_GroundSpeed, gps_Heading, gps_pDOP, category, LOI
-183.589996, -10.740000, 1008.299988, 0.400000, -0.630000, -1.160000, 11.100000, -20.549999, 16.799999, 32.630001, , , 0.000000, 0.000000, 0.000000, 0, 0, 0.000000, 0.000000, 0.000000, unknown, unknown
-194.820007, -11.230000, 988.280029, -0.170000, -1.480000, 1.340000, 10.050000, -20.400000, 16.950001, 32.439999, , , 0.000000, 0.000000, 0.000000, 0, 0, 0.000000, 0.000000, 0.000000, unknown, unknown
-177.729996, -0.980000, 995.609985, -1.570000, -1.770000, 2.100000, 11.100000, -20.549999, 15.300000, 32.580002, , , 0.000000, 0.000000, 0.000000, 0, 0, 0.000000, 0.000000, 0.000000, unknown, unknown
-181.149994, -1.460000, 987.299988, -2.410000, 2.530000, -0.310000, 11.100000, -21.299999, 17.100000, 32.580002, , , 0.000000, 0.000000, 0.000000, 0, 0, 0.000000, 0.000000, 0.000000, unknown, unknown
-183.589996, -4.390000, 990.719971, -1.560000, 0.920000, -1.790000, 9.900000, -19.799999, 15.300000, 32.580002, , , 0.000000, 0.000000, 0.000000, 0, 0, 0.000000, 0.000000, 0.000000, unknown, unknown
-172.850006, -9.280000, 985.840027, -1.410000, -0.720000, -2.870000, 10.800000, -21.150000, 16.950001, 32.099998, , , 0.000000, 0.000000, 0.000000, 0, 0, 0.000000, 0.000000, 0.000000, unknown, unknown
-182.130005, -14.160000, 995.609985, -0.780000, -2.660000, -2.270000, 11.400000, -20.549999, 15.600000, 32.730000, , , 0.000000, 0.000000, 0.000000, 0, 0, 0.000000, 0.000000, 0.000000, unknown, unknown
-188.960007, -12.700000, 984.859985, -1.760000, -0.580000, 2.810000, 10.650000, -20.549999, 15.600000, 32.580002, , , 0.000000, 0.000000, 0.000000, 0, 0, 0.000000, 0.000000, 0.000000, unknown, unknown
-190.919998, -8.300000, 985.840027, -1.290000, 1.600000, -2.990000, 11.250000, -20.700001, 15.900000, 32.580002, , , 0.000000, 0.000000, 0.000000, 0, 0, 0.000000, 0.000000, 0.000000, unknown, unknown
-182.619995, -0.980000, 997.559998, -0.080000, 0.980000, -1.510000, 9.300000, -21.150000, 15.450000, 32.630001, , , 0.000000, 0.000000, 0.000000, 0, 0, 0.000000, 0.000000, 0.000000, unknown, unknown
-175.779999, -12.210000, 995.119995, -2.550000, -1.100000, 0.440000, 10.350000, -19.799999, 16.350000, 32.580002, , , 0.000000, 0.000000, 0.000000, 0, 0, 0.000000, 0.000000, 0.000000, unknown, unknown
-180.660004, 4.390000, 1000.489990, -0.700000, -2.320000, 1.790000, 11.550000, -21.150000, 17.250000, 32.529999, , , 0.000000, 0.000000, 0.000000, 0, 0, 0.000000, 0.000000, 0.000000, unknown, unknown
-195.309998, -2.440000, 984.859985, 0.220000, -3.010000, 3.080000, 10.500000, -20.400000, 15.450000, 32.580002, , , 0.000000, 0.000000, 0.000000, 0, 0, 0.000000, 0.000000, 0.000000, unknown, unknown
-189.449997, -4.390000, 1000.489990, -0.780000, -0.980000, 0.790000, 9.150000, -21.000000, 16.200001, 32.389999, , , 0.000000, 0.000000, 0.000000, 0, 0, 0.000000, 0.000000, 0.000000, unknown, unknown
-182.130005, -8.300000, 991.700012, -1.500000, 1.690000, 1.610000, 10.800000, -20.700001, 16.200001, 32.730000, , , 0.000000, 0.000000, 0.000000, 0, 0, 0.000000, 0.000000, 0.000000, unknown, unknown
-185.059998, -0.980000, 983.400024, -0.900000, -0.990000, -0.160000, 10.800000, -20.400000, 15.450000, 32.439999, , , 0.000000, 0.000000, 0.000000, 0, 0, 0.000000, 0.000000, 0.000000, unknown, unknown
-170.899994, -7.810000, 999.510010, -4.500000, 1.270000, -0.150000, 9.900000, -21.000000, 15.600000, 32.580002, , , 0.000000, 0.000000, 0.000000, 0, 0, 0.000000, 0.000000, 0.000000, unknown, unknown
-186.520004, -0.490000, 999.020020, -2.020000, -0.890000, -1.210000, 10.350000, -19.799999, 15.300000, 32.439999, , , 0.000000, 0.000000, 0.000000, 0, 0, 0.000000, 0.000000, 0.000000, unknown, unknown
-180.660004, -20.020000, 992.679993, 0.510000, -1.560000, 1.580000, 11.400000, -21.750000, 16.049999, 32.389999, , , 0.000000, 0.000000, 0.000000, 0, 0, 0.000000, 0.000000, 0.000000, unknown, unknown
-177.729996, -1.950000, 993.650024, -0.490000, -1.880000, -0.410000, 11.850000, -19.049999, 17.100000, 32.290001, , , 0.000000, 0.000000, 0.000000, 0, 0, 0.000000, 0.000000, 0.000000, unknown, unknown
-177.250000, 1.950000, 1003.909973, -2.580000, 3.050000, -1.890000, 10.800000, -20.700001, 16.950001, 32.250000, , , 0.000000, 0.000000, 0.000000, 0, 0, 0.000000, 0.000000, 0.000000, unknown, unknown
-186.520004, -6.840000, 989.750000, 0.610000, 0.560000, -1.170000, 11.100000, -21.299999, 17.549999, 32.580002, , , 0.000000, 0.000000, 0.000000, 0, 0, 0.000000, 0.000000, 0.000000, unknown, unknown
-186.039993, -9.770000, 992.679993, -3.860000, -0.440000, -1.220000, 11.100000, -21.000000, 16.350000, 32.439999, , , 0.000000, 0.000000, 0.000000, 0, 0, 0.000000, 0.000000, 0.000000, unknown, unknown
-171.389999, -4.390000, 1005.859985, 0.500000, -2.540000, 1.960000, 11.100000, -20.549999, 15.600000, 32.580002, , , 0.000000, 0.000000, 0.000000, 0, 0, 0.000000, 0.000000, 0.000000, unknown, unknown
-176.759995, 6.840000, 1002.440002, 0.090000, -0.030000, 0.440000, 10.800000, -19.950001, 16.200001, 32.439999, , , 0.000000, 0.000000, 0.000000, 0, 0, 0.000000, 0.000000, 0.000000, unknown, unknown
-190.919998, -11.720000, 1004.390015, -1.180000, -0.240000, 0.400000, 11.250000, -20.700001, 15.150000, 32.529999, , , 0.000000, 0.000000, 0.000000, 0, 0, 0.000000, 0.000000, 0.000000, unknown, unknown
-174.800003, -5.370000, 1003.909973, -3.430000, -2.620000, -0.350000, 10.650000, -19.350000, 14.850000, 32.730000, , , 0.000000, 0.000000, 0.000000, 0, 0, 0.000000, 0.000000, 0.000000, unknown, unknown
-192.869995, -4.880000, 997.559998, -2.110000, 0.770000, -1.790000, 10.800000, -23.100000, 16.950001, 32.580002, , , 0.000000, 0.000000, 0.000000, 0, 0, 0.000000, 0.000000, 0.000000, unknown, unknown
-190.919998, 0.980000, 985.349976, -3.810000, 0.570000, 0.210000, 12.300000, -20.700001, 15.900000, 32.389999, , , 0.000000, 0.000000, 0.000000, 0, 0, 0.000000, 0.000000, 0.000000, unknown, unknown
-187.500000, -7.320000, 989.260010, -1.510000, 0.830000, -1.020000, 11.400000, -21.000000, 16.049999, 32.529999, , , 0.000000, 0.000000, 0.000000, 0, 0, 0.000000, 0.000000, 0.000000, unknown, unknown
-182.130005, -1.950000, 1010.250000, -0.360000, -2.730000, 2.080000, 11.100000, -21.299999, 16.799999, 32.730000, , , 0.000000, 0.000000, 0.000000, 0, 0, 0.000000, 0.000000, 0.000000, unknown, unknown
-170.410004, -13.180000, 993.159973, -1.090000, -1.730000, -3.470000, 11.100000, -20.100000, 16.350000, 32.250000, , , 0.000000, 0.000000, 0.000000, 0, 0, 0.000000, 0.000000, 0.000000, unknown, unknown
-189.449997, 2.440000, 1005.859985, 0.670000, 0.020000, 2.210000, 11.850000, -20.549999, 16.799999, 32.580002, , , 0.000000, 0.000000, 0.000000, 0, 0, 0.000000, 0.000000, 0.000000, unknown, unknown
-188.960007, -4.880000, 989.750000, -4.420000, 0.790000, -1.930000, 10.350000, -21.299999, 15.300000, 32.439999, , , 0.000000, 0.000000, 0.000000, 0, 0, 0.000000, 0.000000, 0.000000, unknown, unknown
-178.710007, -3.910000, 992.190002, -1.150000, 1.450000, 1.760000, 10.650000, -21.299999, 16.049999, 32.630001, , , 0.000000, 0.000000, 0.000000, 0, 0, 0.000000, 0.000000, 0.000000, unknown, unknown
-174.800003, 8.790000, 994.630005, -2.690000, 2.640000, -1.370000, 10.350000, -19.049999, 16.350000, 32.290001, , , 0.000000, 0.000000, 0.000000, 0, 0, 0.000000, 0.000000, 0.000000, unknown, unknown
-188.479996, 2.440000, 995.119995, -1.140000, -1.730000, -0.260000, 10.800000, -21.150000, 16.200001, 32.290001, , , 0.000000, 0.000000, 0.000000, 0, 0, 0.000000, 0.000000, 0.000000, unknown, unknown
-186.520004, -2.930000, 989.750000, -0.100000, -2.070000, 0.790000, 10.350000, -22.500000, 16.350000, 32.439999, , , 0.000000, 0.000000, 0.000000, 0, 0, 0.000000, 0.000000, 0.000000, unknown, unknown
-178.220001, 8.790000, 992.190002, 0.180000, -4.900000, 1.690000, 11.250000, -21.150000, 14.400000, 32.389999, , , 0.000000, 0.000000, 0.000000, 0, 0, 0.000000, 0.000000, 0.000000, unknown, unknown
-184.080002, 0.000000, 997.559998, -1.280000, 1.080000, -0.330000, 10.050000, -21.150000, 15.450000, 32.250000, , , 0.000000, 0.000000, 0.000000, 0, 0, 0.000000, 0.000000, 0.000000, unknown, unknown
-185.550003, -23.440001, 1000.489990, -1.880000, 0.240000, -1.440000, 12.000000, -20.400000, 15.900000, 32.580002, , , 0.000000, 0.000000, 0.000000, 0, 0, 0.000000, 0.000000, 0.000000, unknown, unknown
-190.919998, -4.880000, 1023.929993, -1.730000, -0.620000, 0.110000, 10.800000, -21.150000, 16.200001, 32.439999, , , 0.000000, 0.000000, 0.000000, 0, 0, 0.000000, 0.000000, 0.000000, unknown, unknown
-183.589996, -3.910000, 1003.419983, -0.430000, -0.800000, 2.620000, 9.900000, -21.750000, 15.600000, 32.730000, , , 0.000000, 0.000000, 0.000000, 0, 0, 0.000000, 0.000000, 0.000000, unknown, unknown
-177.729996, -0.980000, 1001.950012, -0.800000, -1.480000, 1.660000, 10.650000, -21.750000, 15.600000, 32.389999, , , 0.000000, 0.000000, 0.000000, 0, 0, 0.000000, 0.000000, 0.000000, unknown, unknown
-183.110001, -11.230000, 994.630005, -0.130000, -1.980000, 0.650000, 10.350000, -19.350000, 16.350000, 32.439999, , , 0.000000, 0.000000, 0.000000, 0, 0, 0.000000, 0.000000, 0.000000, unknown, unknown
-190.919998, -5.860000, 983.890015, -2.950000, -0.890000, 0.020000, 12.150000, -20.100000, 17.100000, 32.529999, , , 0.000000, 0.000000, 0.000000, 0, 0, 0.000000, 0.000000, 0.000000, unknown, unknown
